"i_stop_id","i_pid_start","i_pid_end","geometry"
1,17342,17440,"01010000206A080000E0C2D7A578DF2B41A8112AE048A25841"
2,17526,17558,"01010000206A080000941173E932E72B41F5313DE118A15841"
3,17766,17830,"01010000206A080000A2695848BA012C41FE222903DEA25841"
4,17905,18156,"01010000206A08000030FE3F5B84002C411E4C1E1740A35841"
5,18221,18372,"01010000206A080000908F9757B0012C411CC19609E6A25841"
6,18503,18519,"01010000206A0800000EA19AABF9FC2B417D528D5751A35841"
7,18645,18888,"01010000206A08000006B174DA64012C4112B83303EEA25841"
8,19212,19498,"01010000206A080000AFE7BB3B59DF2B416AEE956549A25841"
9,19565,19864,"01010000206A0800004A8F1546AFE12B4138F38CBA51A25841"
10,19939,20731,"01010000206A08000015AE758F83DF2B411EDF9BDC4BA25841"
11,20830,20848,"01010000206A0800001AC6743E65DD2B41FAA61B62A0A25841"
12,21050,21102,"01010000206A080000FD79124585012C4196628C84E3A25841"
13,21126,21188,"01010000206A080000DC0DA6EC7A012C4143775642EAA25841"
14,21244,21834,"01010000206A0800009E5EAFF695002C4118FA934039A35841"
15,21882,21964,"01010000206A0800003D2901D1A3012C418D09B992E5A25841"
16,22033,22938,"01010000206A08000054A7C981B6012C41736E692EE1A25841"
17,22961,23009,"01010000206A080000A93F1F8E6A012C41F61A42D7EFA25841"
18,23015,23348,"01010000206A080000981A6DA4C0012C4128CACFFDDDA25841"
19,23377,23417,"01010000206A080000B237A5699C012C411030465BD6A25841"
20,23437,23478,"01010000206A080000E8BFC0AC8A012C41469140CAD0A25841"
21,23503,23509,"01010000206A080000CB5065282D022C41EAE92B9CDAA25841"
22,23602,23617,"01010000206A080000194E06E5AEF12B41FE7A225CB4A25841"
23,23713,23714,"01010000206A0800001076BF35BDE32B41D6B6B366DDA15841"
24,23810,23864,"01010000206A080000F860CAF352DF2B41383148A449A25841"
25,23979,23982,"01010000206A080000BEA07177E3E32B41A4A772E283A25841"
26,24061,24491,"01010000206A0800004D156A62BEE32B41D059A83E87A25841"
27,24517,24538,"01010000206A080000E427C01344E32B4116CC3BA8D9A15841"
28,24554,25047,"01010000206A0800004B8BB47A81E42B41EBFA3735B1A15841"
29,25107,25130,"01010000206A08000064F9621291DF2B4127960F9651A25841"
30,25131,25625,"01010000206A08000031D3C9591CDF2B41FE8FE74A4AA25841"
31,25632,25637,"01010000206A080000CE877ABC8CE22B41C2E482344DA25841"
32,25689,25704,"01010000206A08000012D2646945DF2B41DCA6C25049A25841"
33,25826,25842,"01010000206A080000CA326AA132DA2B41D2ADC02EE6A05841"
34,25887,25888,"01010000206A08000012B65ECAA5DA2B4130DABFAAAEA05841"
