i_id_carnet_a;i_jour_collecte;i_id_act_jour;i_id_pers_session;dt_start_act_utc;dt_end_act_utc;i_duree_secs;s_code_act;s_code_poi;s_non_poi;b_false_ts_row;b_false_ts_lead
1;1;1;80;2019-07-08 02:00:00+02;2019-07-08 05:24:00+02;12240;1;a;;f;f
2;1;2;80;2019-07-08 05:57:00+02;2019-07-08 10:51:00+02;17640;2;c;;f;f
3;1;3;80;2019-07-08 10:56:00+02;2019-07-08 11:15:00+02;1140;16;d;;f;f
4;1;4;80;2019-07-08 11:20:00+02;2019-07-08 11:45:00+02;1500;2;c;;f;f
5;1;5;80;2019-07-08 11:57:00+02;2019-07-08 14:20:00+02;8580;2;;gabriel fauré;f;f
6;1;6;80;2019-07-08 14:35:00+02;2019-07-08 15:38:00+02;3780;2;c;;f;f
7;1;7;80;2019-07-08 16:08:00+02;2019-07-08 17:02:00+02;3240;1;a;;f;f
8;1;8;80;2019-07-08 17:10:00+02;2019-07-08 17:34:00+02;1440;16;;place condorcet, grenoble;f;f
9;1;9;80;2019-07-08 17:40:00+02;2019-07-09 01:59:00+02;29940;1;a;;f;
10;2;1;80;2019-07-09 02:00:00+02;2019-07-09 05:45:00+02;13500;1;a;;f;f
11;2;2;80;2019-07-09 06:25:00+02;2019-07-09 10:22:00+02;14220;2;c;;f;f
12;2;3;80;2019-07-09 10:27:00+02;2019-07-09 11:15:00+02;2880;16;d;;f;f
13;2;4;80;2019-07-09 11:20:00+02;2019-07-09 16:24:00+02;18240;2;c;;f;f
14;2;5;80;2019-07-09 16:48:00+02;2019-07-09 17:15:00+02;1620;1;a;;f;f
15;2;6;80;2019-07-09 17:36:00+02;2019-07-09 20:12:00+02;9360;16;e;;f;f
16;2;7;80;2019-07-09 20:20:00+02;2019-07-10 01:59:00+02;20340;1;a;;f;
17;3;1;80;2019-07-10 02:00:00+02;2019-07-10 06:10:00+02;15000;1;a;;f;f
18;3;2;80;2019-07-10 06:11:00+02;2019-07-10 06:14:00+02;180;4;f;;f;f
19;3;3;80;2019-07-10 06:15:00+02;2019-07-10 06:47:00+02;1920;1;a;;f;f
20;3;4;80;2019-07-10 06:59:00+02;2019-07-10 08:06:00+02;4020;7;;9 rue de chamrousse, 38000 grenoble;f;f
21;3;5;80;2019-07-10 08:13:00+02;2019-07-10 09:21:00+02;4080;1;a;;f;f
22;3;6;80;2019-07-10 09:22:00+02;2019-07-10 09:28:00+02;360;4;f;;f;f
23;3;7;80;2019-07-10 09:29:00+02;2019-07-10 11:11:00+02;6120;1;a;;f;f
24;3;8;80;2019-07-10 11:16:00+02;2019-07-10 11:31:00+02;900;5;;place championnet, grenoble;f;f
25;3;9;80;2019-07-10 11:37:00+02;2019-07-10 13:44:00+02;7620;1;a;;f;f
26;3;10;80;2019-07-10 13:55:00+02;2019-07-10 16:26:00+02;9060;2;;lycee vaucanson, grenoble;f;f
27;3;11;80;2019-07-10 16:34:00+02;2019-07-10 17:07:00+02;1980;10;;rue stalingrad, grenoble;f;f
28;3;12;80;2019-07-10 17:15:00+02;2019-07-10 17:37:00+02;1320;1;a;;f;f
29;3;13;80;2019-07-10 17:59:00+02;2019-07-10 20:13:00+02;8040;9;g;;f;f
30;3;14;80;2019-07-10 20:35:00+02;2019-07-11 01:59:00+02;19440;1;a;;f;
31;4;1;80;2019-07-11 02:00:00+02;2019-07-11 06:06:00+02;14760;1;a;;f;f
32;4;2;80;2019-07-11 06:36:00+02;2019-07-11 10:04:00+02;12480;2;c;;f;f
33;4;3;80;2019-07-11 10:23:00+02;2019-07-11 11:47:00+02;5040;16;;chateau de beaumes, seyssins;f;f
34;4;4;80;2019-07-11 11:58:00+02;2019-07-11 16:37:00+02;16740;2;c;;f;f
35;4;5;80;2019-07-11 17:09:00+02;2019-07-11 17:12:00+02;180;4;;gare de grenoble;f;f
36;4;6;80;2019-07-11 17:21:00+02;2019-07-11 18:11:00+02;3000;1;a;;f;f
37;4;7;80;2019-07-11 18:25:00+02;2019-07-11 21:49:00+02;12240;10;;rue henri desbrouge, grenoble;f;f
38;4;8;80;2019-07-11 22:04:00+02;2019-07-12 01:59:00+02;14100;1;a;;f;
39;5;1;80;2019-07-12 02:00:00+02;2019-07-12 06:06:00+02;14760;1;a;;f;f
40;5;2;80;2019-07-12 06:36:00+02;2019-07-12 11:00:00+02;15840;2;c;;f;f
41;5;3;80;2019-07-12 11:05:00+02;2019-07-12 11:49:00+02;2640;16;;eve, camps st martin d'heres;f;f
42;5;4;80;2019-07-12 11:55:00+02;2019-07-12 15:06:00+02;11460;2;c;;f;f
43;5;5;80;2019-07-12 15:55:00+02;2019-07-13 01:59:00+02;36240;2;;bibliotheque saint bruno;f;
